uid;name;sectors;country;state;province;city;address;zip;startdate;uoc;uoctype;taxcode;vatcode;note;website;owner;createdAt
3bed6e57-d0c3-4066-a4a3-0e751bf13c64;Giulio's Company;;IT;NULL;Torino;Torino;;;2019-10-01;NULL;;NULL;NULL;;;90f8cc19-0d42-47c1-8a2c-7ed7bf70a50a;2024-01-07T17:26:17.038Z
527eb361-4130-44a7-8629-2be24e57edd5;Liv.In.G. s.r.l. impresa sociale;;IT;NULL;Milano;Milano;;;2018-06-05;NULL;;NULL;NULL;;;a35ecac1-a3d4-4556-876e-1c17ff0d8a5f;2024-01-07T17:26:17.052Z
c98a4c52-4b29-4b7c-9390-42fcf44bfee4;Perypezye Urbane;;IT;NULL;Milano;Milano;;;2005-10-16;NULL;;NULL;NULL;;;2862807a-c2cf-4556-9952-50cd9d5ac1ee;2024-01-07T17:26:17.053Z
99b63001-e4ae-416e-87fa-8f3da5c79384;Associazione Grupporiani;;IT;NULL;Milano;Milano;;;1984-01-30;NULL;;NULL;NULL;;;e32dd359-f147-4d11-aa8e-b534605a4e65;2024-01-07T17:26:17.054Z
d98b2ae1-8ec8-4170-8bf5-85d7352851f0;Teatro Linguaggicreativi;;IT;NULL;Milano;Milano;;;2009-07-20;NULL;;NULL;NULL;;;65937a01-640f-4390-8f76-a5eadd4ebb99;2024-01-07T17:26:17.055Z
4a80a68f-7cc6-44d8-aee3-f17f7c5a137d;Divertimento Ensemble;;IT;NULL;Milano;Milano;;;1980-10-22;NULL;;NULL;NULL;;;70891f52-6188-4e3f-a06d-baad97087012;2024-01-07T17:26:17.057Z
b88ec0c6-c971-456b-a011-2003f6f9e15d;Associazione Interdisciplinare delle Arti;;IT;NULL;Milano;Milano;;;1995-11-23;NULL;;NULL;NULL;;;b90b8d34-a132-4326-b303-c0fa62c76dd7;2024-01-07T17:26:17.058Z
cf051cee-0c8c-44f7-9353-2b96f0b084a9;Fondazione Accademia Teatro alla Scala;;IT;NULL;Milano;Milano;;;2001-12-19;NULL;;NULL;NULL;;;67f979d2-6a13-4789-adb9-b8126d2ff7b6;2024-01-07T17:26:17.060Z
953d082f-8be1-45a4-9bad-e5a3659aad9c;Centro Asteria;;IT;NULL;Milano;Milano;;;1990-04-02;NULL;;NULL;NULL;;;23e0969a-ccd0-4ffb-9291-30b9e5cb177f;2024-01-07T17:26:17.062Z
f5c9f781-ebff-4805-b407-b30580935145;Il Teatro Prova Soc.Coop.Soc.;;IT;NULL;Bergamo;Bergamo;;;1983-12-22;NULL;;NULL;NULL;;;ddc863c2-cd41-487c-9441-bb1e69a66cda;2024-01-07T17:26:17.068Z
